adm2_code,year,phen_gup,phen_dor,yield
US01031,2018,72,295,134.97574
US01033,2018,84,281,139.58087
US01049,2018,73,299,148.95361
US01071,2018,77,292,142.35269
US01077,2018,78,284,156.7674
US01079,2018,76,285,149.03145
US01083,2018,75,273,166.28638
US01089,2018,90,287,171.37932
US01121,2018,68,282,148.76724
US05001,2018,107,277,177.78717
US05003,2018,107,282,170.988
US05017,2018,109,272,177.11732
US05021,2018,123,283,178.2754
US05031,2018,129,282,180.5454
US05035,2018,107,273,177.09746
US05041,2018,110,270,179.21176
US05043,2018,103,285,183.09476
US05055,2018,115,285,176.28964
US05067,2018,91,269,165.04092
US05069,2018,111,274,174.45401
US05073,2018,75,275,152.40736
US05077,2018,114,275,166.40868
US05079,2018,112,269,176.34438
US05085,2018,110,281,171.97635
US05093,2018,134,275,176.90462
US05095,2018,99,279,168.22623
US05107,2018,112,264,178.22148
US05111,2018,131,279,180.5652
US05117,2018,109,287,170.62563
US05121,2018,117,285,172.48111
US05123,2018,117,272,172.24428
US05147,2018,90,276,162.05353
US06021,2018,72,263,216.91579
US06047,2018,60,248,206.40753
US06067,2018,64,252,181.39767
US06077,2018,79,274,179.51062
US06113,2018,67,260,208.27902
US08001,2018,101,265,81.61735
US08009,2018,99,287,112.30556
US08011,2018,101,318,126.53246
US08017,2018,95,276,89.95603
US08061,2018,98,269,71.21627
US08063,2018,98,282,96.12371
US08069,2018,124,304,130.17404
US08073,2018,93,257,71.15614
US08075,2018,125,306,139.39018
US08087,2018,120,303,160.01714
US08089,2018,100,318,164.17462
US08095,2018,125,295,132.72401
US08099,2018,94,289,132.9002
US08115,2018,121,298,115.65087
US08121,2018,106,290,80.61751
US08123,2018,123,304,169.29094
US08125,2018,126,296,160.71175
US10001,2018,92,293,168.18338
US10003,2018,96,298,150.75635
US10005,2018,100,293,156.1762
US13007,2018,98,309,180.65063
US13033,2018,80,291,167.90874
US13037,2018,85,306,166.45387
US13087,2018,87,281,185.91579
US13099,2018,92,297,171.9929
US13131,2018,80,304,142.64877
US13155,2018,96,308,171.7599
US13163,2018,59,279,161.7993
US13201,2018,96,301,180.92574
US13205,2018,96,301,179.56374
US13251,2018,95,304,157.7389
US13253,2018,83,277,187.62967
US13261,2018,74,282,178.4398
US13273,2018,86,298,170.09021
US13321,2018,78,291,172.18604
US16027,2018,103,294,195.5366
US16073,2018,96,286,203.27301
US17001,2018,116,284,187.2801
US17003,2018,97,280,143.25456
US17005,2018,95,281,186.97354
US17007,2018,135,291,189.62772
US17009,2018,119,285,185.53246
US17011,2018,137,284,202.78163
US17013,2018,112,283,177.92397
US17015,2018,132,292,196.46033
US17017,2018,127,275,201.53545
US17019,2018,142,275,203.55602
US17021,2018,133,272,205.50613
US17023,2018,119,281,192.25311
US17025,2018,103,278,180.79039
US17027,2018,90,280,175.81366
US17029,2018,133,273,200.89381
US17033,2018,110,284,163.2683
US17035,2018,120,281,193.75627
US17037,2018,143,285,194.51775
US17039,2018,139,274,215.3679
US17041,2018,139,273,200.86821
US17045,2018,134,275,193.36314
US17047,2018,102,283,153.16194
US17049,2018,117,279,194.58871
US17051,2018,110,282,181.00508
US17053,2018,144,277,192.34793
US17055,2018,86,281,159.19992
US17057,2018,122,287,197.29558
US17059,2018,113,273,163.16682
US17061,2018,119,279,193.72328
US17063,2018,141,278,197.3622
US17065,2018,109,277,164.77585
US17067,2018,124,281,201.90404
US17071,2018,126,287,192.91585
US17073,2018,136,285,199.13446
US17075,2018,144,278,191.81749
US17077,2018,100,278,155.36488
US17079,2018,112,281,186.97095
US17081,2018,90,284,164.25902
US17083,2018,117,281,182.59969
US17085,2018,120,300,188.34982
US17087,2018,85,297,125.170044
US17089,2018,134,292,169.06378
US17091,2018,135,281,174.91638
US17093,2018,137,285,181.01628
US17095,2018,130,286,201.88007
US17097,2018,125,301,130.74933
US17099,2018,142,280,199.14613
US17101,2018,103,281,166.19423
US17103,2018,140,284,193.56166
US17105,2018,144,277,196.73477
US17107,2018,135,274,208.7064
US17109,2018,130,279,210.69234
US17111,2018,132,294,178.93912
US17113,2018,142,278,207.6994
US17115,2018,138,271,213.69173
US17117,2018,124,277,204.022
US17119,2018,101,283,177.40216
US17121,2018,103,286,178.73317
US17123,2018,139,281,202.26166
US17125,2018,127,276,198.46268
US17127,2018,93,284,138.18512
US17129,2018,129,274,210.1634
US17131,2018,129,285,201.70514
US17133,2018,93,281,159.24686
US17135,2018,124,276,203.52457
US17137,2018,128,275,205.01836
US17139,2018,136,270,211.08871
US17141,2018,134,291,194.00822
US17143,2018,130,286,200.50197
US17145,2018,80,277,153.3887
US17147,2018,143,271,214.09705
US17149,2018,120,281,176.64388
US17153,2018,95,280,134.27318
US17155,2018,136,283,204.4985
US17157,2018,91,276,158.61891
US17159,2018,100,280,172.97688
US17161,2018,125,291,194.6719
US17163,2018,92,281,170.4502
US17165,2018,114,279,152.23242
US17167,2018,129,271,211.13033
US17169,2018,118,284,194.19763
US17171,2018,123,276,197.79031
US17173,2018,125,273,199.4859
US17175,2018,138,281,213.89542
US17177,2018,127,295,191.20763
US17179,2018,132,280,206.5911
US17181,2018,111,290,146.7012
US17183,2018,140,278,196.20093
US17185,2018,115,278,144.5396
US17187,2018,132,281,209.5806
US17189,2018,78,268,162.491
US17191,2018,108,284,161.41049
US17193,2018,103,279,164.15784
US17195,2018,133,286,193.2109
US17197,2018,130,289,173.4002
US17199,2018,92,292,138.2817
US17201,2018,128,294,180.06454
US17203,2018,141,282,209.13896
US18001,2018,128,292,181.9816
US18003,2018,123,292,166.17679
US18005,2018,103,289,166.70032
US18007,2018,144,275,201.2341
US18009,2018,126,290,179.12282
US18011,2018,129,284,194.9821
US18015,2018,130,280,203.67834
US18017,2018,126,287,193.126
US18019,2018,82,292,166.30339
US18021,2018,112,285,179.3889
US18023,2018,136,282,203.42264
US18027,2018,106,277,168.65126
US18029,2018,96,300,162.98192
US18031,2018,114,288,188.27036
US18033,2018,112,301,158.49475
US18035,2018,120,290,175.58871
US18037,2018,88,278,174.49031
US18039,2018,114,302,165.95427
US18041,2018,108,294,186.75139
US18045,2018,127,281,199.88675
US18047,2018,108,290,182.91867
US18049,2018,127,289,182.08286
US18051,2018,100,278,165.152
US18053,2018,135,282,195.95451
US18055,2018,116,283,174.0708
US18057,2018,125,288,175.6965
US18059,2018,123,288,178.65363
US18061,2018,84,292,150.10614
US18063,2018,116,290,185.02017
US18065,2018,118,291,187.9631
US18067,2018,132,283,195.1279
US18069,2018,128,290,188.05835
US18071,2018,88,292,163.65573
US18073,2018,132,285,178.05045
US18075,2018,119,292,180.65982
US18077,2018,87,291,158.17488
US18079,2018,93,293,170.3928
US18081,2018,110,290,179.74219
US18083,2018,109,278,167.66779
US18085,2018,120,296,182.38101
US18087,2018,115,300,157.54195
US18089,2018,133,286,176.55573
US18091,2018,129,291,158.41724
US18093,2018,87,301,158.76225
US18095,2018,129,287,194.12607
US18097,2018,98,299,163.44766
US18099,2018,118,296,169.10486
US18101,2018,92,291,166.67114
US18103,2018,122,291,186.15532
US18105,2018,95,304,165.47987
US18107,2018,129,283,198.4394
US18109,2018,114,286,176.47304
US18111,2018,136,284,195.875
US18113,2018,113,299,161.86627
US18117,2018,86,275,180.10315
US18119,2018,96,295,177.66182
US18121,2018,111,289,181.31699
US18123,2018,79,284,156.71567
US18125,2018,90,291,166.61012
US18127,2018,132,288,181.05411
US18129,2018,98,280,171.05415
US18131,2018,132,285,175.41583
US18133,2018,109,289,186.17282
US18135,2018,124,288,179.039
US18137,2018,95,298,172.5607
US18139,2018,126,284,192.63208
US18141,2018,127,294,154.5228
US18143,2018,88,291,168.27034
US18145,2018,120,284,187.03229
US18147,2018,91,275,170.71696
US18149,2018,128,293,150.11519
US18151,2018,115,303,150.53784
US18153,2018,111,282,173.22867
US18155,2018,93,290,173.16455
US18157,2018,128,283,192.69307
US18159,2018,139,281,195.45085
US18161,2018,122,289,197.29922
US18163,2018,103,279,171.4649
US18165,2018,124,281,195.10956
US18167,2018,108,284,179.25795
US18169,2018,121,289,188.87602
US18171,2018,132,279,199.02686
US18173,2018,91,281,163.50377
US18175,2018,86,288,182.8949
US18177,2018,105,298,180.78546
US18179,2018,134,287,181.92198
US18181,2018,135,280,190.10461
US18183,2018,116,299,171.48308
US19001,2018,120,299,153.05527
US19003,2018,120,296,171.69228
US19005,2018,121,302,184.40083
US19007,2018,105,308,161.70906
US19009,2018,137,287,192.41539
US19011,2018,139,284,205.31
US19013,2018,140,283,199.63707
US19015,2018,144,279,176.69978
US19017,2018,140,286,200.61487
US19019,2018,139,286,195.16719
US19021,2018,149,281,189.46413
US19023,2018,144,283,201.74107
US19025,2018,150,277,184.85269
US19027,2018,144,284,199.87509
US19029,2018,127,292,173.84848
US19031,2018,136,286,205.97256
US19033,2018,149,279,183.97707
US19035,2018,143,287,206.9458
US19037,2018,141,285,184.1414
US19039,2018,105,311,141.06636
US19041,2018,150,282,174.19849
US19043,2018,126,298,194.02759
US19045,2018,134,289,199.11363
US19047,2018,136,289,207.57292
US19049,2018,139,280,171.39388
US19051,2018,108,298,166.21326
US19053,2018,112,303,160.85541
US19055,2018,133,291,201.9368
US19057,2018,131,281,190.89148
US19059,2018,152,282,173.55852
US19061,2018,120,303,191.00659
US19063,2018,155,280,165.9277
US19065,2018,139,288,190.11969
US19067,2018,146,281,191.92554
US19069,2018,149,281,197.75436
US19071,2018,135,280,190.63959
US19073,2018,147,279,183.61455
US19075,2018,147,282,207.53244
US19077,2018,133,287,173.32558
US19079,2018,150,278,189.41216
US19081,2018,154,279,189.26018
US19083,2018,145,282,207.64296
US19085,2018,137,284,185.81775
US19087,2018,129,282,192.33966
US19089,2018,142,287,184.68974
US19091,2018,152,278,182.4626
US19093,2018,140,289,204.0255
US19095,2018,128,291,202.48108
US19097,2018,115,304,184.65076
US19099,2018,130,288,197.25612
US19101,2018,124,287,185.619
US19103,2018,125,291,199.42519
US19105,2018,131,293,196.33937
US19107,2018,128,287,196.22421
US19109,2018,154,278,189.37727
US19111,2018,122,285,177.95564
US19113,2018,133,288,195.03098
US19115,2018,128,284,184.37903
US19117,2018,106,309,145.3801
US19119,2018,146,284,194.8587
US19121,2018,119,296,165.42096
US19123,2018,131,285,191.84743
US19125,2018,121,296,173.70277
US19127,2018,137,285,196.33685
US19129,2018,133,283,188.77783
US19131,2018,148,282,190.93907
US19133,2018,143,284,183.03288
US19135,2018,106,302,161.39038
US19137,2018,127,290,191.05212
US19139,2018,131,284,193.61981
US19141,2018,150,282,192.79355
US19143,2018,154,280,183.85318
US19145,2018,123,290,180.71573
US19147,2018,151,279,163.04788
US19149,2018,144,287,198.00424
US19151,2018,152,278,173.39647
US19153,2018,137,284,159.24925
US19155,2018,133,285,199.34665
US19157,2018,130,289,199.37712
US19159,2018,108,304,151.41121
US19161,2018,146,284,199.8804
US19163,2018,134,287,204.40584
US19165,2018,136,286,204.673
US19167,2018,147,285,195.78557
US19169,2018,144,277,174.45343
US19171,2018,137,286,199.32501
US19173,2018,116,296,162.47615
US19175,2018,115,302,169.88231
US19177,2018,120,289,179.36115
US19179,2018,126,286,186.06207
US19181,2018,120,298,155.61191
US19183,2018,129,286,196.65451
US19185,2018,108,303,160.53427
US19187,2018,150,276,180.24963
US19189,2018,153,281,188.08124
US19191,2018,126,298,179.41158
US19193,2018,139,288,194.84178
US19195,2018,150,282,189.38658
US19197,2018,152,278,193.02908
US20001,2018,90,295,107.020004
US20003,2018,95,296,114.128525
US20005,2018,105,298,142.56477
US20009,2018,87,276,155.64796
US20011,2018,88,300,112.477875
US20013,2018,118,288,141.38437
US20015,2018,81,286,117.03067
US20021,2018,67,277,130.86217
US20023,2018,96,280,103.565056
US20027,2018,104,286,156.64677
US20029,2018,96,286,155.05508
US20031,2018,92,296,111.28011
US20035,2018,67,275,110.596985
US20037,2018,75,293,112.93197
US20039,2018,76,278,91.79158
US20041,2018,69,281,100.90485
US20043,2018,116,286,166.37804
US20045,2018,105,298,102.17238
US20047,2018,100,271,169.7555
US20055,2018,88,282,145.363
US20057,2018,102,273,157.06677
US20059,2018,97,303,105.948074
US20061,2018,102,293,112.179665
US20063,2018,77,276,98.465034
US20065,2018,81,284,96.02423
US20067,2018,85,271,146.24193
US20069,2018,105,282,154.71994
US20071,2018,80,271,94.46944
US20073,2018,82,294,111.33417
US20075,2018,81,261,83.67464
US20079,2018,74,271,134.45955
US20081,2018,117,278,156.5819
US20085,2018,99,304,125.26391
US20087,2018,112,294,129.89143
US20089,2018,97,290,132.82732
US20093,2018,110,287,145.58429
US20095,2018,61,252,133.01935
US20097,2018,102,276,163.36511
US20099,2018,73,291,112.460625
US20107,2018,85,302,118.97176
US20109,2018,75,257,91.98754
US20111,2018,103,293,99.151535
US20113,2018,70,262,135.20673
US20115,2018,67,286,92.96466
US20117,2018,106,293,113.075966
US20119,2018,113,277,163.09036
US20121,2018,88,311,119.08631
US20123,2018,64,266,111.49608
US20125,2018,79,288,107.42731
US20127,2018,84,298,87.87441
US20129,2018,106,283,105.660965
US20131,2018,108,294,95.69311
US20133,2018,77,291,103.91033
US20137,2018,82,283,104.63327
US20139,2018,101,303,90.298615
US20141,2018,76,277,100.12595
US20145,2018,68,263,135.27882
US20147,2018,83,286,116.06056
US20149,2018,118,285,126.72537
US20151,2018,84,266,170.60718
US20153,2018,81,273,91.455734
US20155,2018,74,264,148.73387
US20157,2018,110,289,141.1893
US20159,2018,67,254,116.71588
US20161,2018,106,292,113.28528
US20163,2018,79,285,96.820724
US20171,2018,77,267,116.815575
US20173,2018,81,277,118.90791
US20175,2018,112,276,155.2123
US20177,2018,121,285,135.54689
US20179,2018,106,283,114.585014
US20181,2018,107,287,96.25487
US20183,2018,70,273,114.89713
US20185,2018,77,269,154.22005
US20187,2018,103,273,118.13648
US20189,2018,115,280,151.9622
US20191,2018,53,253,102.19573
US20193,2018,106,278,107.73496
US20197,2018,112,292,113.224976
US20199,2018,107,286,105.14484
US20201,2018,96,294,130.71437
US20203,2018,82,280,78.85096
US20205,2018,74,288,107.6853
US20207,2018,88,293,116.45773
US21007,2018,76,281,137.3589
US21009,2018,70,291,163.30772
US21027,2018,83,292,149.90097
US21031,2018,94,289,162.5579
US21033,2018,83,273,167.15968
US21035,2018,81,279,144.05005
US21039,2018,82,280,135.53389
US21045,2018,88,282,162.94771
US21047,2018,68,267,166.53108
US21055,2018,91,292,141.32982
US21059,2018,104,280,170.678
US21075,2018,73,271,173.163
US21083,2018,78,280,139.08144
US21085,2018,79,290,143.97096
US21087,2018,77,296,157.53748
US21091,2018,97,283,161.74898
US21093,2018,75,280,172.68268
US21101,2018,107,280,160.17834
US21105,2018,81,271,160.50943
US21107,2018,105,282,159.74721
US21123,2018,71,284,164.52643
US21137,2018,77,296,163.45575
US21139,2018,86,293,147.49849
US21141,2018,67,273,154.89127
US21143,2018,77,279,151.36174
US21145,2018,74,286,127.16418
US21149,2018,100,278,171.07439
US21155,2018,82,292,153.49632
US21157,2018,85,289,109.31497
US21163,2018,76,285,175.52458
US21177,2018,91,284,143.67126
US21179,2018,77,289,154.90752
US21183,2018,99,289,172.18211
US21199,2018,79,291,163.11134
US21211,2018,78,292,163.56094
US21213,2018,79,278,147.31741
US21217,2018,75,296,178.78288
US21219,2018,70,278,150.55539
US21221,2018,78,270,170.55717
US21225,2018,101,277,174.0484
US21227,2018,80,276,166.45679
US21233,2018,105,283,168.3141
US22009,2018,62,259,169.75162
US22017,2018,91,297,119.950516
US22025,2018,80,271,156.0995
US22029,2018,66,263,144.6904
US22035,2018,100,258,173.56677
US22041,2018,65,276,173.46686
US22065,2018,100,261,172.30081
US22067,2018,98,277,161.30237
US22069,2018,69,277,157.62541
US22077,2018,56,245,177.93384
US22079,2018,63,279,163.97823
US22083,2018,69,280,156.63559
US22097,2018,62,236,177.65253
US22107,2018,86,276,165.82277
US22123,2018,72,271,165.43391
US24005,2018,93,324,154.53236
US24011,2018,87,289,156.7378
US24013,2018,84,324,153.0637
US24015,2018,89,305,156.7647
US24017,2018,91,309,130.9746
US24019,2018,93,287,156.6076
US24021,2018,80,316,144.70473
US24025,2018,93,314,159.0835
US24027,2018,87,325,158.74039
US24029,2018,92,291,173.9331
US24031,2018,89,314,150.3986
US24035,2018,89,295,159.82011
US24037,2018,87,295,128.54323
US24039,2018,83,282,144.13078
US24041,2018,86,294,147.56036
US24043,2018,78,324,156.69969
US24045,2018,87,294,124.87984
US24047,2018,94,286,145.49368
US26005,2018,103,311,155.6676
US26011,2018,122,307,159.80653
US26015,2018,106,309,150.76996
US26017,2018,134,293,166.75711
US26021,2018,107,304,159.17743
US26023,2018,116,297,158.9398
US26025,2018,113,302,151.7336
US26027,2018,110,298,156.96628
US26037,2018,116,307,136.74716
US26045,2018,114,303,154.45007
US26049,2018,114,310,157.72258
US26051,2018,122,306,144.62009
US26055,2018,98,324,134.11221
US26057,2018,130,299,170.53563
US26059,2018,112,301,155.7368
US26063,2018,126,302,158.72798
US26065,2018,112,302,142.00284
US26067,2018,116,304,163.52254
US26073,2018,118,309,147.79028
US26075,2018,109,306,146.77936
US26077,2018,114,301,163.14958
US26081,2018,102,316,148.1785
US26087,2018,118,307,166.74297
US26091,2018,123,296,154.75592
US26093,2018,109,311,141.97585
US26099,2018,120,304,166.04675
US26105,2018,101,321,124.60312
US26107,2018,108,313,126.43267
US26109,2018,108,324,127.132935
US26111,2018,129,301,165.9828
US26113,2018,96,326,132.58665
US26115,2018,117,299,150.99617
US26117,2018,109,314,145.29587
US26121,2018,99,318,145.24944
US26123,2018,100,321,127.14879
US26127,2018,98,325,115.74956
US26129,2018,108,316,139.28882
US26139,2018,94,320,145.9479
US26145,2018,132,296,168.75284
US26147,2018,122,303,168.67603
US26149,2018,116,299,140.81319
US26151,2018,126,304,163.24693
US26155,2018,121,302,147.56213
US26157,2018,131,297,165.246
US26159,2018,105,306,151.60576
US26161,2018,113,306,142.67087
US27003,2018,119,310,131.44174
US27005,2018,145,279,162.33978
US27009,2018,126,304,162.5779
US27011,2018,152,282,192.50581
US27013,2018,152,279,189.63461
US27015,2018,151,282,168.63184
US27019,2018,133,294,173.4887
US27023,2018,156,283,185.57275
US27025,2018,123,305,151.97539
US27027,2018,150,283,165.4407
US27033,2018,153,282,182.67073
US27035,2018,124,303,147.79639
US27037,2018,137,290,178.43959
US27039,2018,148,283,195.37721
US27041,2018,141,296,178.99718
US27043,2018,155,280,191.82642
US27045,2018,132,294,194.95056
US27047,2018,150,283,191.1558
US27049,2018,137,293,198.38542
US27051,2018,153,282,188.89145
US27053,2018,123,306,157.81728
US27055,2018,119,302,170.14081
US27059,2018,128,302,146.32323
US27063,2018,156,281,170.78137
US27065,2018,123,306,160.18631
US27067,2018,151,285,191.29813
US27073,2018,150,283,192.4877
US27079,2018,142,285,194.47005
US27081,2018,145,287,179.95447
US27083,2018,150,279,168.28212
US27085,2018,146,285,180.46873
US27087,2018,148,281,168.8242
US27089,2018,155,278,147.85872
US27091,2018,155,279,171.36449
US27093,2018,145,288,184.72862
US27095,2018,127,302,167.5258
US27097,2018,127,308,166.21123
US27099,2018,148,283,192.48848
US27101,2018,153,283,170.04034
US27103,2018,151,280,195.65231
US27105,2018,154,283,185.9243
US27107,2018,149,280,161.9692
US27109,2018,131,294,183.98401
US27111,2018,143,291,179.54541
US27115,2018,126,308,157.30739
US27117,2018,147,289,173.82933
US27119,2018,145,276,145.91057
US27121,2018,146,290,185.66449
US27125,2018,148,279,147.40575
US27127,2018,154,279,164.89922
US27129,2018,156,281,184.01585
US27131,2018,141,287,197.5122
US27133,2018,147,287,191.40372
US27139,2018,136,292,182.95148
US27141,2018,134,293,166.49432
US27143,2018,152,282,193.63503
US27145,2018,132,302,178.71649
US27147,2018,147,284,193.39822
US27149,2018,154,283,184.64781
US27151,2018,152,285,189.53241
US27153,2018,130,305,155.1651
US27155,2018,155,280,195.36423
US27157,2018,125,300,183.81798
US27159,2018,133,298,140.39708
US27161,2018,150,282,195.64436
US27163,2018,131,298,178.2166
US27165,2018,153,281,165.52231
US27167,2018,148,275,166.84499
US27169,2018,125,300,194.68329
US27171,2018,134,298,181.37637
US27173,2018,151,282,187.5666
US28011,2018,113,280,171.7314
US28013,2018,101,292,158.45378
US28015,2018,96,278,164.5465
US28027,2018,117,274,165.39548
US28033,2018,107,288,163.05562
US28049,2018,77,290,147.73526
US28051,2018,105,284,176.10202
US28053,2018,107,282,168.93944
US28055,2018,109,273,168.58344
